City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,47.64,97,100,5.28,AR,1707530936
1,waitangi,-43.9535,-176.5597,64.81,71,38,8.01,NZ,1707530936
2,puerto ayora,-0.7393,-90.3518,79.56,95,41,7.45,EC,1707530936
3,ketchikan,55.3422,-131.6461,42.78,97,100,6.13,US,1707530936
4,port-aux-francais,-49.35,70.2167,46.35,96,96,28.68,TF,1707530937
5,papatowai,-46.5619,169.4708,53.73,78,100,15.32,NZ,1707530937
6,qaqortoq,60.7167,-46.0333,15.21,95,100,7.43,GL,1707530937
7,freeport,40.6576,-73.5832,46.38,91,0,4.61,US,1707530937
8,mount pearl,47.5166,-52.7813,26.96,94,11,4.0,CA,1707530937
9,adamstown,-25.066,-130.1015,77.29,91,100,23.96,PN,1707530937
10,hithadhoo,-0.6,73.0833,83.08,67,50,14.34,MV,1707530937
11,avarua,-21.2078,-159.775,84.25,74,20,19.57,CK,1707530937
12,port hedland,-20.3167,118.5667,104.05,22,0,11.5,AU,1707530937
13,san antonio de pale,-1.4014,5.6325,82.27,75,78,3.8,GQ,1707530937
14,yellowknife,62.456,-114.3525,-13.94,100,9,2.89,CA,1707530937
15,waingapu,-9.6567,120.2641,83.41,74,22,12.59,ID,1707530757
16,grytviken,-54.2811,-36.5092,39.18,96,100,10.71,GS,1707530937
17,aykhal,66.0,111.5,-26.43,100,100,2.95,RU,1707530938
18,san pedro de macoris,18.4616,-69.2972,69.93,74,0,8.3,DO,1707530938
19,anadyr,64.75,177.4833,0.1,84,0,13.0,RU,1707530938
20,guerrero negro,27.9769,-114.0611,58.24,64,0,15.93,MX,1707530938
21,groningen,53.25,6.75,48.27,94,75,6.91,NL,1707530639
22,blackmans bay,-43.0167,147.3167,65.52,48,6,3.0,AU,1707530938
23,cabo san lucas,22.8909,-109.9124,68.5,71,100,11.5,MX,1707530856
24,saint-philippe,-21.3585,55.7679,78.39,91,100,6.51,RE,1707530938
25,port lincoln,-34.7333,135.8667,70.66,64,4,15.43,AU,1707530938
26,talnakh,69.4865,88.3972,-12.23,79,95,4.99,RU,1707530938
27,whitehorse,60.7161,-135.0538,19.02,79,100,19.57,CA,1707530938
28,puerto natales,-51.7236,-72.4875,50.41,92,0,4.68,CL,1707530938
29,georgetown,5.4112,100.3354,84.13,61,20,4.61,MY,1707530905
30,hermanus,-34.4187,19.2345,59.81,76,77,3.71,ZA,1707530938
31,landsberg am lech,48.0482,10.8828,44.19,88,99,2.3,DE,1707530939
32,ilulissat,69.2167,-51.1,8.62,43,100,10.36,GL,1707530939
33,tharangambadi,11.0319,79.8528,77.13,80,100,6.06,IN,1707530939
34,afaahiti,-17.75,-149.2833,75.07,84,100,9.57,PF,1707530939
35,zaozersk,69.4005,32.4476,3.9,91,100,4.12,RU,1707530939
36,mount isa,-20.7333,139.5,92.97,49,40,8.05,AU,1707530939
37,petropavlovsk-kamchatsky,53.0452,158.6483,16.45,79,0,8.01,RU,1707530939
38,finote selam,10.7,37.2667,65.25,41,94,1.88,ET,1707530939
39,agat village,13.3886,144.6585,86.94,71,20,20.71,GU,1707530939
40,iqaluit,63.7506,-68.5145,-22.31,67,24,10.0,CA,1707530939
41,ouadda,8.0777,22.4007,69.28,31,5,4.14,CF,1707530939
42,loango,-4.6719,11.8312,80.26,94,75,4.61,CG,1707530939
43,hawaiian paradise park,19.5933,-154.9731,76.51,77,40,12.66,US,1707530940
44,micheweni,-4.9667,39.8333,83.39,75,73,13.35,TZ,1707530940
45,utrik,11.2278,169.8474,79.02,80,100,23.11,MH,1707530940
46,haiku-pauwela,20.9219,-156.3051,78.82,71,40,11.5,US,1707530940
47,tralee,52.2704,-9.7026,42.71,91,39,11.9,IE,1707530940
48,rongelap,11.1635,166.8941,78.78,80,100,24.11,MH,1707530940
49,aras-asan,8.8908,126.3033,80.58,78,29,11.1,PH,1707530940
50,siwa oasis,29.2041,25.5195,54.41,40,0,3.27,EG,1707530940
